timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1786964684826695,ssh_command,,,,,"stockholm: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786964705227582,stale_process_cleanup_requested,,,,,stockholm,,,,,,,,,
1786964705227903,ssh_command,,,,,"frankfurt: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786964725810666,stale_process_cleanup_requested,,,,,frankfurt,,,,,,,,,
1786964725811033,ssh_command,,,,,"virginia: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786964747409112,stale_process_cleanup_requested,,,,,virginia,,,,,,,,,
1786964747409524,ssh_command,,,,,"oregon: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786964769945091,stale_process_cleanup_requested,,,,,oregon,,,,,,,,,
1786964769945415,ssh_command,,,,,"singapore: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786964793838515,stale_process_cleanup_requested,,,,,singapore,,,,,,,,,
1786964793838843,ssh_command,,,,,"tokyo: registry=/home/ec2-user/gresse-runs/.gresse-geo-churn-active; if [ -d ""$registry"" ]; then found=0; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; found=1; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -TERM ""$pid"" 2>/dev/null || true ;; esac; done; done; [ ""$found"" -eq 1 ] && sleep 20; for record in ""$registry""/*.pid; do [ -f ""$record"" ] || continue; read replica_pid watchdog_pid < ""$record""; for pid in ""$replica_pid"" ""$watchdog_pid""; do case ""$pid"" in ''|*[!0-9]*) ;; *) kill -KILL ""$pid"" 2>/dev/null || true ;; esac; done; rm -f ""$record""; done; fi",,,,,,,,,
1786964817409554,stale_process_cleanup_requested,,,,,tokyo,,,,,,,,,
