timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1787922727020993,agent_start_received,,,,,1787922771.0,,,,,,,,,
1787922771001889,bootstrap_attempt_started,ireland-slot0-g1,eu-west-1,0,178792271704341601,attempt 1/3,,,,,,,,,
1787922771004383,spawn_requested,ireland-slot0-g1,eu-west-1,0,178792271704341601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/ireland-slot0-g1,,,,,,,,,
1787922771305632,bootstrap_ready,ireland-slot0-g1,eu-west-1,0,178792271704341601,,,,,,,,,,
1787922771306029,bootstrap_attempt_started,ireland-slot1-g1,eu-west-1,1,178792271704342601,attempt 1/3,,,,,,,,,
1787922771308216,spawn_requested,ireland-slot1-g1,eu-west-1,1,178792271704342601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/ireland-slot1-g1,,,,,,,,,
1787922771609515,bootstrap_ready,ireland-slot1-g1,eu-west-1,1,178792271704342601,,,,,,,,,,
1787922771609914,bootstrap_attempt_started,ireland-slot2-g1,eu-west-1,2,178792271704343601,attempt 1/3,,,,,,,,,
1787922771612504,spawn_requested,ireland-slot2-g1,eu-west-1,2,178792271704343601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/ireland-slot2-g1,,,,,,,,,
1787922771913800,bootstrap_ready,ireland-slot2-g1,eu-west-1,2,178792271704343601,,,,,,,,,,
1787922771914177,bootstrap_attempt_started,ireland-slot3-g1,eu-west-1,3,178792271704344601,attempt 1/3,,,,,,,,,
1787922771916559,spawn_requested,ireland-slot3-g1,eu-west-1,3,178792271704344601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/ireland-slot3-g1,,,,,,,,,
1787922772217878,bootstrap_ready,ireland-slot3-g1,eu-west-1,3,178792271704344601,,,,,,,,,,
1787922772218247,bootstrap_attempt_started,ireland-slot4-g1,eu-west-1,4,178792271704345601,attempt 1/3,,,,,,,,,
1787922772220433,spawn_requested,ireland-slot4-g1,eu-west-1,4,178792271704345601,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/ireland-slot4-g1,,,,,,,,,
1787922772521673,bootstrap_ready,ireland-slot4-g1,eu-west-1,4,178792271704345601,,,,,,,,,,
1787922802526351,state_snapshot,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,,,,,,,,
1787922802526918,state_snapshot,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,,,,,,,,
1787922802527404,state_snapshot,ireland-slot2-g1,eu-west-1,2,178792271704343601,,200,,,,,,,,
1787922802527913,state_snapshot,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,,,,,,,,
1787922802528507,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,5351,Insert,944,True,,,,
1787922802528560,state_snapshot,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,,,,,,,,
1787922802629735,state_snapshot,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,,,,,,,,
1787922802630274,state_snapshot,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,,,,,,,,
1787922802630739,state_snapshot,ireland-slot2-g1,eu-west-1,2,178792271704343601,,200,,,,,,,,
1787922802631154,state_snapshot,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,,,,,,,,
1787922802631594,state_snapshot,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,,,,,,,,
1787922803526245,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,3185,Insert,59,True,,,,
1787922804526176,client_request,ireland-slot2-g1,eu-west-1,2,178792271704343601,,200,3127,Insert,515,True,,,,
1787922805526016,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2972,Remove,244,True,,,,
1787922806526047,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3010,Remove,857,True,,,,
1787922807525973,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2931,Remove,805,True,,,,
1787922808525882,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2840,Insert,355,True,,,,
1787922809526087,client_request,ireland-slot2-g1,eu-west-1,2,178792271704343601,,200,3023,Insert,338,True,,,,
1787922810526055,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,3008,Remove,325,True,,,,
1787922811526102,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3025,Insert,855,True,,,,
1787922812526078,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2963,Insert,957,True,,,,
1787922813526103,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,3038,Insert,475,True,,,,
1787922814526955,client_request,ireland-slot2-g1,eu-west-1,2,178792271704343601,,200,3861,Insert,572,True,,,,
1787922815525782,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2608,Remove,704,True,,,,
1787922816069590,scheduled_event_started,ireland-slot2-g1,eu-west-1,2,178792271704343601,t=45.000s crash,,,,,,,,,
1787922816069665,crash_requested,ireland-slot2-g1,eu-west-1,2,178792271704343601,,,,,,,,,,
1787922816169974,process_stopped,ireland-slot2-g1,eu-west-1,2,178792271704343601,,,,,,,,,,
1787922816170061,scheduled_event_completed,ireland-slot2-g1,eu-west-1,2,178792271704343601,t=45.000s crash,,,,,,,,,
1787922816525784,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2739,Remove,885,True,,,,
1787922817525866,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,2817,Remove,604,True,,,,
1787922818525891,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2846,Remove,940,True,,,,
1787922819526015,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2951,Insert,544,True,,,,
1787922820525939,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2898,Remove,825,True,,,,
1787922821525896,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,2858,Remove,13,True,,,,
1787922822526002,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2949,Insert,940,True,,,,
1787922823526048,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2990,Insert,58,True,,,,
1787922824525938,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2906,Insert,245,True,,,,
1787922825525969,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,2921,Insert,244,True,,,,
1787922826526063,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,3006,Remove,97,True,,,,
1787922827526242,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,3033,Insert,614,True,,,,
1787922828526853,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2899,Remove,420,True,,,,
1787922829526101,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3032,Remove,82,True,,,,
1787922830525957,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2914,Remove,247,True,,,,
1787922831011572,state_snapshot,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,,,,,,,,
1787922831012217,state_snapshot,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,,,,,,,,
1787922831012720,state_snapshot,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,,,,,,,,
1787922831013216,state_snapshot,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,,,,,,,,
1787922831526054,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2990,Insert,449,True,,,,
1787922832525969,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2950,Remove,280,True,,,,
1787922833526300,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3251,Insert,550,True,,,,
1787922834526211,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,3127,Insert,244,True,,,,
1787922835526172,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,3113,Insert,893,True,,,,
1787922836526064,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,3013,Remove,139,True,,,,
1787922837526103,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3044,Insert,520,True,,,,
1787922838525698,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2619,Remove,238,True,,,,
1787922839526088,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,3024,Insert,225,True,,,,
1787922840526048,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2991,Remove,969,True,,,,
1787922841526110,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3043,Remove,845,True,,,,
1787922842526096,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,3041,Remove,625,True,,,,
1787922843525896,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2849,Remove,290,True,,,,
1787922844526101,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,3053,Remove,242,True,,,,
1787922845526112,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3011,Insert,448,True,,,,
1787922846525968,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2895,Insert,171,True,,,,
1787922847526062,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2988,Remove,277,True,,,,
1787922848525968,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2873,Remove,760,True,,,,
1787922849526132,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3028,Remove,541,True,,,,
1787922850526009,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2963,Insert,343,True,,,,
1787922851525967,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2902,Remove,232,True,,,,
1787922852526079,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,3038,Remove,329,True,,,,
1787922853526200,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,3138,Remove,86,True,,,,
1787922854526364,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,3300,Insert,613,True,,,,
1787922855526009,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2966,Insert,214,True,,,,
1787922856525979,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2934,Insert,737,True,,,,
1787922857525978,client_request,ireland-slot4-g1,eu-west-1,4,178792271704345601,,200,2918,Remove,882,True,,,,
1787922858525814,client_request,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,2767,Insert,855,True,,,,
1787922859525969,client_request,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,2857,Insert,999,True,,,,
1787922860525759,client_request,ireland-slot3-g1,eu-west-1,3,178792271704344601,,200,2732,Insert,27,True,,,,
1787922861004006,scheduled_event_started,ireland-slot2-g1,eu-west-1,2,178792271704343601,t=90.000s spawn,,,,,,,,,
1787922861004373,bootstrap_attempt_started,ireland-slot2-g2,eu-west-1,2,178792271704343602,attempt 1/3,,,,,,,,,
1787922861006646,spawn_requested,ireland-slot2-g2,eu-west-1,2,178792271704343602,/home/ec2-user/gresse-runs/acm-sec-geo-churn-smoke-20260828T131133Z-6f49edb6/ireland-slot2-g2,,,,,,,,,
1787922861408296,bootstrap_ready,ireland-slot2-g2,eu-west-1,2,178792271704343602,,,,,,,,,,
1787922861408394,scheduled_event_completed,ireland-slot2-g2,eu-west-1,2,178792271704343602,t=90.000s spawn,,,,,,,,,
1787922861409599,state_snapshot,ireland-slot0-g1,eu-west-1,0,178792271704341601,,200,,,,,,,,
1787922861410118,state_snapshot,ireland-slot1-g1,eu-west-1,1,178792271704342601,,200,,,,,,,,
1787922861410601,state_snapshot,ireland-slot2-g2,eu-west-1,2,178792271704343602,,200,,,,,,,,
