timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788254818035779,agent_start_received,,,,,1788254862.0,,,,,,,,,
1788254862001524,bootstrap_attempt_started,stockholm-slot0-g1,eu-north-1,0,178825480714263201,attempt 1/3,,,,,,,,,
1788254862005113,spawn_requested,stockholm-slot0-g1,eu-north-1,0,178825480714263201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/stockholm-slot0-g1,,,,,,,,,
1788254862206781,bootstrap_ready,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,,,,,,,,,
1788254862207161,bootstrap_attempt_started,stockholm-slot1-g1,eu-north-1,1,178825480714264201,attempt 1/3,,,,,,,,,
1788254862212442,spawn_requested,stockholm-slot1-g1,eu-north-1,1,178825480714264201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/stockholm-slot1-g1,,,,,,,,,
1788254862413421,bootstrap_ready,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,,,,,,,,,
1788254862413844,bootstrap_attempt_started,stockholm-slot2-g1,eu-north-1,2,178825480714265201,attempt 1/3,,,,,,,,,
1788254862416761,spawn_requested,stockholm-slot2-g1,eu-north-1,2,178825480714265201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/stockholm-slot2-g1,,,,,,,,,
1788254862617759,bootstrap_ready,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,,,,,,,,,
1788254862618297,bootstrap_attempt_started,stockholm-slot3-g1,eu-north-1,3,178825480714266201,attempt 1/3,,,,,,,,,
1788254862620853,spawn_requested,stockholm-slot3-g1,eu-north-1,3,178825480714266201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/stockholm-slot3-g1,,,,,,,,,
1788254862821804,bootstrap_ready,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,,,,,,,,,
1788254862822605,bootstrap_attempt_started,stockholm-slot4-g1,eu-north-1,4,178825480714267201,attempt 1/3,,,,,,,,,
1788254862825170,spawn_requested,stockholm-slot4-g1,eu-north-1,4,178825480714267201,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/stockholm-slot4-g1,,,,,,,,,
1788254862925833,bootstrap_ready,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,,,,,,,,,
1788254892931071,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,,,,,,,,
1788254892931720,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,,,,,,,,
1788254892932264,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,,,,,,,,
1788254892932790,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,,,,,,,,
1788254892933130,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,5781,Remove,139,True,,,,
1788254892933537,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,,,,,,,,
1788254893030473,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2955,Insert,128,True,,,,
1788254893034725,state_snapshot,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,,,,,,,,
1788254893035361,state_snapshot,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,,,,,,,,
1788254893035881,state_snapshot,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,,,,,,,,
1788254893036357,state_snapshot,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,,,,,,,,
1788254893036828,state_snapshot,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,,,,,,,,
1788254893130648,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3342,Remove,678,True,,,,
1788254893230507,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3214,Remove,84,True,,,,
1788254893330556,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3245,Remove,82,True,,,,
1788254893430507,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3200,Insert,645,True,,,,
1788254893530511,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3200,Insert,468,True,,,,
1788254893630286,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2979,Insert,160,True,,,,
1788254893730466,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3088,Remove,218,True,,,,
1788254893832294,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,4680,Remove,476,True,,,,
1788254893931383,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,4094,Insert,287,True,,,,
1788254894031295,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3967,Insert,371,True,,,,
1788254894131431,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3493,Insert,111,True,,,,
1788254894230576,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3246,Remove,555,True,,,,
1788254894330476,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3153,Insert,533,True,,,,
1788254894430246,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2953,Remove,742,True,,,,
1788254894530780,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3484,Insert,93,True,,,,
1788254894630704,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3248,Remove,932,True,,,,
1788254894730234,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2940,Insert,298,True,,,,
1788254894830464,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3137,Insert,799,True,,,,
1788254894930606,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3323,Insert,177,True,,,,
1788254895030612,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3323,Remove,544,True,,,,
1788254895130571,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3276,Insert,321,True,,,,
1788254895230465,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3176,Insert,929,True,,,,
1788254895330460,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3118,Insert,656,True,,,,
1788254895430284,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2987,Insert,80,True,,,,
1788254895530288,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2991,Remove,671,True,,,,
1788254895630399,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3020,Insert,203,True,,,,
1788254895730966,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3685,Insert,350,True,,,,
1788254895830228,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2937,Insert,117,True,,,,
1788254895930663,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3372,Insert,484,True,,,,
1788254896031324,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3184,Remove,888,True,,,,
1788254896130655,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3336,Insert,867,True,,,,
1788254896230643,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3367,Insert,567,True,,,,
1788254896330443,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3118,Insert,679,True,,,,
1788254896430166,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2866,Insert,332,True,,,,
1788254896530226,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2928,Remove,215,True,,,,
1788254896630262,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2964,Remove,912,True,,,,
1788254896730104,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2847,Insert,677,True,,,,
1788254896830201,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2876,Remove,354,True,,,,
1788254896930118,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2833,Remove,589,True,,,,
1788254897030558,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3260,Remove,770,True,,,,
1788254897130390,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3082,Remove,603,True,,,,
1788254897230499,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3212,Insert,165,True,,,,
1788254897330509,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3220,Insert,777,True,,,,
1788254897430468,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3189,Remove,264,True,,,,
1788254897530660,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3379,Insert,279,True,,,,
1788254897630630,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3348,Insert,853,True,,,,
1788254897730288,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3032,Remove,72,True,,,,
1788254897830461,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3146,Insert,133,True,,,,
1788254897930515,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3216,Insert,245,True,,,,
1788254898030350,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3062,Insert,450,True,,,,
1788254898130289,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2983,Remove,800,True,,,,
1788254898230571,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3273,Remove,936,True,,,,
1788254898330190,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2904,Insert,319,True,,,,
1788254898430403,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3097,Remove,904,True,,,,
1788254898530517,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3236,Insert,607,True,,,,
1788254898630255,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2918,Remove,944,True,,,,
1788254898730816,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3542,Remove,175,True,,,,
1788254898830168,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2851,Remove,283,True,,,,
1788254898930369,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3079,Insert,192,True,,,,
1788254899030517,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3215,Insert,937,True,,,,
1788254899130197,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2898,Remove,479,True,,,,
1788254899231072,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3772,Insert,900,True,,,,
1788254899330242,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2939,Remove,994,True,,,,
1788254899430206,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2873,Insert,602,True,,,,
1788254899530151,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2858,Remove,475,True,,,,
1788254899630256,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2938,Remove,660,True,,,,
1788254899730199,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2928,Remove,113,True,,,,
1788254899830378,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3083,Remove,853,True,,,,
1788254899933515,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,6207,Remove,322,True,,,,
1788254900030693,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3319,Remove,736,True,,,,
1788254900130905,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3409,Insert,944,True,,,,
1788254900230027,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2718,Remove,8,True,,,,
1788254900333168,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,4829,Remove,109,True,,,,
1788254900430523,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3207,Remove,120,True,,,,
1788254900531751,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,4415,Insert,314,True,,,,
1788254900630044,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2734,Remove,282,True,,,,
1788254900731335,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,4080,Insert,984,True,,,,
1788254900830122,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2804,Insert,974,True,,,,
1788254900931408,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,4112,Insert,940,True,,,,
1788254901030579,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3277,Insert,891,True,,,,
1788254901131329,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,4045,Insert,567,True,,,,
1788254901229996,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2708,Remove,673,True,,,,
1788254901331011,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3731,Remove,572,True,,,,
1788254901430692,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3415,Insert,332,True,,,,
1788254901530223,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2907,Insert,278,True,,,,
1788254901629877,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2580,Insert,348,True,,,,
1788254901731044,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3718,Insert,902,True,,,,
1788254901830847,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3469,Insert,922,True,,,,
1788254901931194,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3912,Remove,654,True,,,,
1788254902029768,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2477,Insert,592,True,,,,
1788254902129924,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2600,Insert,726,True,,,,
1788254902230018,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2707,Insert,949,True,,,,
1788254902329970,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2668,Remove,557,True,,,,
1788254902430069,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2774,Remove,389,True,,,,
1788254902530078,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2773,Insert,57,True,,,,
1788254902634457,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,7142,Insert,564,True,,,,
1788254902730130,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2827,Remove,739,True,,,,
1788254902830152,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2858,Insert,967,True,,,,
1788254902931512,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,4233,Insert,665,True,,,,
1788254903031538,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,4233,Remove,522,True,,,,
1788254903129876,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2604,Insert,845,True,,,,
1788254903230051,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2733,Insert,319,True,,,,
1788254903331494,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,4200,Remove,195,True,,,,
1788254903430394,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3011,Remove,95,True,,,,
1788254903529906,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2618,Remove,674,True,,,,
1788254903629972,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2682,Remove,948,True,,,,
1788254903729907,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2635,Remove,396,True,,,,
1788254903830046,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2765,Remove,451,True,,,,
1788254903930580,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3275,Remove,78,True,,,,
1788254904031179,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3888,Remove,944,True,,,,
1788254904130464,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3173,Remove,98,True,,,,
1788254904230084,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2786,Remove,760,True,,,,
1788254904329958,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2678,Insert,452,True,,,,
1788254904430202,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2915,Insert,874,True,,,,
1788254904529851,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2565,Remove,649,True,,,,
1788254904633516,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2908,Insert,555,True,,,,
1788254904729923,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2601,Insert,113,True,,,,
1788254904830544,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3221,Insert,733,True,,,,
1788254904930701,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3421,Remove,476,True,,,,
1788254905030529,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3250,Insert,293,True,,,,
1788254905130612,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3320,Insert,965,True,,,,
1788254905230721,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3420,Insert,584,True,,,,
1788254905330293,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3001,Remove,919,True,,,,
1788254905430345,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3003,Remove,388,True,,,,
1788254905530267,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2972,Remove,866,True,,,,
1788254905633270,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,5893,Remove,868,True,,,,
1788254905730389,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3103,Remove,562,True,,,,
1788254905830496,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3162,Remove,847,True,,,,
1788254905930476,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3132,Insert,186,True,,,,
1788254906030652,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3350,Remove,923,True,,,,
1788254906130542,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3230,Insert,166,True,,,,
1788254906230681,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3152,Remove,589,True,,,,
1788254906330212,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2923,Insert,551,True,,,,
1788254906430607,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3293,Remove,205,True,,,,
1788254906530150,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2844,Remove,398,True,,,,
1788254906630232,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2946,Insert,729,True,,,,
1788254906730459,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3157,Insert,627,True,,,,
1788254906830441,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3122,Insert,552,True,,,,
1788254906930253,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2965,Insert,942,True,,,,
1788254907030390,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3032,Insert,73,True,,,,
1788254907130273,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2937,Remove,869,True,,,,
1788254907230578,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3275,Insert,186,True,,,,
1788254907330295,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2987,Remove,685,True,,,,
1788254907430473,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3178,Remove,390,True,,,,
1788254907530661,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3352,Insert,35,True,,,,
1788254907630283,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2987,Insert,592,True,,,,
1788254907735064,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,7748,Insert,671,True,,,,
1788254907830204,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2908,Remove,678,True,,,,
1788254907930448,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3136,Remove,832,True,,,,
1788254908030219,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2919,Insert,202,True,,,,
1788254908130514,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3195,Remove,754,True,,,,
1788254908230790,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3475,Insert,221,True,,,,
1788254908330292,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2985,Insert,122,True,,,,
1788254908430163,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2862,Remove,778,True,,,,
1788254908530495,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3185,Insert,356,True,,,,
1788254908630243,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2962,Remove,684,True,,,,
1788254908729998,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2689,Insert,657,True,,,,
1788254908830978,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3705,Insert,813,True,,,,
1788254908930879,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3602,Remove,963,True,,,,
1788254909030199,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2931,Insert,694,True,,,,
1788254909130229,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2952,Remove,852,True,,,,
1788254909230363,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3058,Remove,874,True,,,,
1788254909330226,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2940,Remove,180,True,,,,
1788254909430584,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3280,Remove,760,True,,,,
1788254909530401,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3092,Remove,70,True,,,,
1788254909630592,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3250,Insert,705,True,,,,
1788254909730472,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3133,Insert,857,True,,,,
1788254909830400,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3103,Remove,236,True,,,,
1788254909930207,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2896,Insert,806,True,,,,
1788254910030367,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3056,Insert,115,True,,,,
1788254910130519,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3230,Remove,524,True,,,,
1788254910230933,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3632,Insert,779,True,,,,
1788254910330581,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3275,Insert,522,True,,,,
1788254910430280,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2986,Insert,252,True,,,,
1788254910530460,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3121,Remove,917,True,,,,
1788254910630173,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2892,Insert,527,True,,,,
1788254910730132,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2877,Remove,577,True,,,,
1788254910830652,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3335,Insert,143,True,,,,
1788254910930353,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2993,Remove,284,True,,,,
1788254911030968,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3661,Remove,600,True,,,,
1788254911130456,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3152,Insert,596,True,,,,
1788254911230227,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2941,Remove,838,True,,,,
1788254911330153,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2863,Insert,707,True,,,,
1788254911431935,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,4632,Insert,238,True,,,,
1788254911530948,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3657,Remove,293,True,,,,
1788254911637276,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,9966,Insert,818,True,,,,
1788254911729925,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2662,Insert,348,True,,,,
1788254911829797,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2501,Remove,806,True,,,,
1788254911930165,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2869,Insert,732,True,,,,
1788254912030080,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2741,Remove,888,True,,,,
1788254912130962,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3603,Remove,281,True,,,,
1788254912230295,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,3002,Insert,347,True,,,,
1788254912332169,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,4885,Remove,681,True,,,,
1788254912430286,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3015,Insert,674,True,,,,
1788254912529933,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2644,Insert,45,True,,,,
1788254912630925,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3635,Insert,701,True,,,,
1788254912729974,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2717,Insert,600,True,,,,
1788254912829998,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2690,Remove,358,True,,,,
1788254912929989,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2697,Insert,223,True,,,,
1788254913030187,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,2899,Remove,63,True,,,,
1788254913130366,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3036,Remove,67,True,,,,
1788254913230056,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2771,Remove,189,True,,,,
1788254913330223,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,2917,Insert,13,True,,,,
1788254913430189,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,2899,Insert,309,True,,,,
1788254913530449,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3144,Remove,779,True,,,,
1788254913630472,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,3132,Remove,694,True,,,,
1788254913730266,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2967,Remove,962,True,,,,
1788254913830707,client_request,stockholm-slot4-g1,eu-north-1,4,178825480714267201,,200,3381,Insert,88,True,,,,
1788254913930771,client_request,stockholm-slot0-g1,eu-north-1,0,178825480714263201,,200,3477,Remove,821,True,,,,
1788254914030657,client_request,stockholm-slot1-g1,eu-north-1,1,178825480714264201,,200,3363,Insert,271,True,,,,
1788254914130115,client_request,stockholm-slot2-g1,eu-north-1,2,178825480714265201,,200,2841,Remove,831,True,,,,
1788254914230297,client_request,stockholm-slot3-g1,eu-north-1,3,178825480714266201,,200,2943,Remove,542,True,,,,
